Original Title,Authors,cleaned_title
Unveiling the Learning Mind of Language Models: A Cognitive Framework and Empirical Study,"Zhengyu Hu,Jianxun Lian,Zheyuan Xiao,Seraphina Zhang,Tianfu Wang,Nicholas Jing Yuan,Xing Xie,Hui Xiong",unveiling learning mind language model cognitive framework empirical study
Towards a Formal Specification for Self-organized Shape Formation in Swarm Robotics,"YR Darr,MA Niazi",towards formal specification selforganized shape formation swarm robotics
A Neural Model for Word Repetition,"Daniel Dager,Robin Sobczyk,Emmanuel Chemla,Yair Lakretz",neural model word repetition
Simple is what you need for efficient and accurate medical image segmentation,"Xiang Yu,Yayan Chen,Guannan He,Qing Zeng,Yue Qin,Meiling Liang,Dandan Luo,Yimei Liao,Zeyu Ren,Cheng Kang,Delong Yang,Bocheng Liang,Bin Pu,Ying Yuan,Shengli Li",simple need efficient accurate medical image segmentation
CALM: Consensus-Aware Localized Merging for Multi-Task Learning,"Kunda Yan,Min Zhang,Sen Cui,Zikun Qu,Bo Jiang,Feng Liu,Changshui Zhang",calm consensusaware localized merging multitask learning
Mitigating loss of variance in ensemble data assimilation: machine learning-based and distance-free localizations for better covariance estimation,"Vinicius L. S. Silva,Gabriel S. Seabra,Alexandre A. Emerick",mitigating loss variance ensemble data assimilation machine learningbased distancefree localization better covariance estimation
StoryBench: A Dynamic Benchmark for Evaluating Long-Term Memory with Multi Turns,"Luanbo Wan,Weizhi Ma",storybench dynamic benchmark evaluating longterm memory multi turn
Direct Reasoning Optimization: LLMs Can Reward And Refine Their Own Reasoning for Open-Ended Tasks,"Yifei Xu,Tusher Chakraborty,Srinagesh Sharma,Leonardo Nunes,Emre Kıcıman,Songwu Lu,Ranveer Chandra",direct reasoning optimization llm reward refine reasoning openended task
LapDDPM: A Conditional Graph Diffusion Model for scRNA-seq Generation with Spectral Adversarial Perturbations,"Lorenzo Bini,Stephane Marchand-Maillet",lapddpm conditional graph diffusion model scrnaseq generation spectral adversarial perturbation
Tady: A Neural Disassembler without Structural Constraint Violations,"Siliang Qin,Fengrui Yang,Hao Wang,Bolun Zhang,Zeyu Gao,Chao Zhang,Kai Chen",tady neural disassembler without structural constraint violation
Active Multimodal Distillation for Few-shot Action Recognition,"Weijia Feng,Yichen Zhu,Ruojia Zhang,Chenyang Wang,Fei Ma,Xiaobao Wang,Xiaobai Li",active multimodal distillation fewshot action recognition
Vine Copulas as Differentiable Computational Graphs,"Tuoyuan Cheng,Thibault Vatter,Thomas Nagler,Kan Chen",vine copula differentiable computational graph
Large Language Models as 'Hidden Persuaders': Fake Product Reviews are Indistinguishable to Humans and Machines,"Weiyao Meng,John Harvey,James Goulding,Chris James Carter,Evgeniya Lukinova,Andrew Smith,Paul Frobisher,Mina Forrest,Georgiana Nica-Avram",large language model hidden persuader fake product review indistinguishable human machine
Quantitative Comparison of Fine-Tuning Techniques for Pretrained Latent Diffusion Models in the Generation of Unseen SAR Image Concepts,"Solène Debuysère,Nicolas Trouvé,Nathan Letheule,Olivier Lévêque,Elise Colin",quantitative comparison finetuning technique pretrained latent diffusion model generation unseen sar image concept
Seewo's Submission to MLC-SLM: Lessons learned from Speech Reasoning Language Models,"Bo Li,Chengben Xu,Wufeng Zhang",seewos submission mlcslm lesson learned speech reasoning language model
Fair Generation without Unfair Distortions: Debiasing Text-to-Image Generation with Entanglement-Free Attention,"Jeonghoon Park,Juyoung Lee,Chaeyeon Chung,Jaeseong Lee,Jaegul Choo,Jindong Gu",fair generation without unfair distortion debiasing texttoimage generation entanglementfree attention
Automatic Multi-View X-Ray/CT Registration Using Bone Substructure Contours,"Roman Flepp,Leon Nissen,Bastian Sigrist,Arend Nieuwland,Nicola Cavalcanti,Philipp Fürnstahl,Thomas Dreher,Lilian Calvet",automatic multiview xrayct registration using bone substructure contour
AceReason-Nemotron 1.1: Advancing Math and Code Reasoning through SFT and RL Synergy,"Zihan Liu,Zhuolin Yang,Yang Chen,Chankyu Lee,Mohammad Shoeybi,Bryan Catanzaro,Wei Ping",acereasonnemotron advancing math code reasoning sft synergy
SeqPE: Transformer with Sequential Position Encoding,"Huayang Li,Yahui Liu,Hongyu Sun,Deng Cai,Leyang Cui,Wei Bi,Peilin Zhao,Taro Watanabe",seqpe transformer sequential position encoding
Energy-Efficient Digital Design: A Comparative Study of Event-Driven and Clock-Driven Spiking Neurons,"Filippo Marostica,Alessio Carpegna,Alessandro Savino,Stefano Di Carlo",energyefficient digital design comparative study eventdriven clockdriven spiking neuron
Open-Set LiDAR Panoptic Segmentation Guided by Uncertainty-Aware Learning,"Rohit Mohan,Julia Hindel,Florian Drews,Claudius Gläser,Daniele Cattaneo,Abhinav Valada",openset lidar panoptic segmentation guided uncertaintyaware learning
Distinct Computations Emerge From Compositional Curricula in In-Context Learning,"Jin Hwa Lee,Andrew K. Lampinen,Aaditya K. Singh,Andrew M. Saxe",distinct computation emerge compositional curriculum incontext learning
On Immutable Memory Systems for Artificial Agents: A Blockchain-Indexed Automata-Theoretic Framework Using ECDH-Keyed Merkle Chains,Craig Steven Wright,immutable memory system artificial agent blockchainindexed automatatheoretic framework using ecdhkeyed merkle chain
No-Regret Learning Under Adversarial Resource Constraints: A Spending Plan Is All You Need!,"Francesco Emanuele Stradi,Matteo Castiglioni,Alberto Marchesi,Nicola Gatti,Christian Kroer",noregret learning adversarial resource constraint spending plan need
Thought Crime: Backdoors and Emergent Misalignment in Reasoning Models,"James Chua,Jan Betley,Mia Taylor,Owain Evans",thought crime backdoor emergent misalignment reasoning model
Screen Hijack: Visual Poisoning of VLM Agents in Mobile Environments,"Xuan Wang,Siyuan Liang,Zhe Liu,Yi Yu,Yuliang Lu,Xiaochun Cao,Ee-Chien Chang",screen hijack visual poisoning vlm agent mobile environment
ViT-NeBLa: A Hybrid Vision Transformer and Neural Beer-Lambert Framework for Single-View 3D Reconstruction of Oral Anatomy from Panoramic Radiographs,"Bikram Keshari Parida,Anusree P. Sunilkumar,Abhijit Sen,Wonsang You",vitnebla hybrid vision transformer neural beerlambert framework singleview reconstruction oral anatomy panoramic radiograph
Breaking Thought Patterns: A Multi-Dimensional Reasoning Framework for LLMs,"Xintong Tang,Meiru Zhang,Shang Xiao,Junzhao Jin,Zihan Zhao,Liwei Li,Yang Zheng,Bangyi Wu",breaking thought pattern multidimensional reasoning framework llm
Dynamic Context-oriented Decomposition for Task-aware Low-rank Adaptation with Less Forgetting and Faster Convergence,"Yibo Yang,Sihao Liu,Chuan Rao,Bang An,Tiancheng Shen,Philip H.S. Torr,Ming-Hsuan Yang,Bernard Ghanem",dynamic contextoriented decomposition taskaware lowrank adaptation less forgetting faster convergence
From Empirical Evaluation to Context-Aware Enhancement: Repairing Regression Errors with LLMs,"Anh Ho,Thanh Le-Cong,Bach Le,Christine Rizkallah",empirical evaluation contextaware enhancement repairing regression error llm
AI-Facilitated Analysis of Abstracts and Conclusions: Flagging Unsubstantiated Claims and Ambiguous Pronouns,Evgeny Markhasin,aifacilitated analysis abstract conclusion flagging unsubstantiated claim ambiguous pronoun
Querying Large Automotive Software Models: Agentic vs. Direct LLM Approaches,"Lukasz Mazur,Nenad Petrovic,James Pontes Miranda,Ansgar Radermacher,Robert Rasche,Alois Knoll",querying large automotive software model agentic direct llm approach
CertDW: Towards Certified Dataset Ownership Verification via Conformal Prediction,"Ting Qiao,Yiming Li,Jianbin Li,Yingjia Wang,Leyi Qi,Junfeng Guo,Ruili Feng,Dacheng Tao",certdw towards certified dataset ownership verification via conformal prediction
Adapting LLMs for Minimal-edit Grammatical Error Correction,"Ryszard Staruch,Filip Graliński,Daniel Dzienisiewicz",adapting llm minimaledit grammatical error correction
Quantum AGI: Ontological Foundations,"Elija Perrier,Michael Timothy Bennett",quantum agi ontological foundation
ZINA: Multimodal Fine-grained Hallucination Detection and Editing,"Yuiga Wada,Kazuki Matsuda,Komei Sugiura,Graham Neubig",zina multimodal finegrained hallucination detection editing
PhenoKG: Knowledge Graph-Driven Gene Discovery and Patient Insights from Phenotypes Alone,"Kamilia Zaripova,Ege Özsoy,Nassir Navab,Azade Farshad",phenokg knowledge graphdriven gene discovery patient insight phenotype alone
Overcoming Overfitting in Reinforcement Learning via Gaussian Process Diffusion Policy,"Amornyos Horprasert,Esa Apriaskar,Xingyu Liu,Lanlan Su,Lyudmila S. Mihaylova",overcoming overfitting reinforcement learning via gaussian process diffusion policy
Leveraging In-Context Learning for Language Model Agents,"Shivanshu Gupta,Sameer Singh,Ashish Sabharwal,Tushar Khot,Ben Bogin",leveraging incontext learning language model agent
Rethinking Test-Time Scaling for Medical AI: Model and Task-Aware Strategies for LLMs and VLMs,"Gyutaek Oh,Seoyeon Kim,Sangjoon Park,Byung-Hoon Kim",rethinking testtime scaling medical model taskaware strategy llm vlms
Dynamic Graph Condensation,"Dong Chen,Shuai Zheng,Yeyu Yan,Muhao Xu,Zhenfeng Zhu,Yao Zhao,Kunlun He",dynamic graph condensation
IKDiffuser: Fast and Diverse Inverse Kinematics Solution Generation for Multi-arm Robotic Systems,"Zeyu Zhang,Ziyuan Jiao",ikdiffuser fast diverse inverse kinematics solution generation multiarm robotic system
CHILL at SemEval-2025 Task 2: You Can't Just Throw Entities and Hope -- Make Your LLM to Get Them Right,"Jaebok Lee,Yonghyun Ryu,Seongmin Park,Yoonjung Choi",chill semeval task cant throw entity hope make llm get right
MotiveBench: How Far Are We From Human-Like Motivational Reasoning in Large Language Models?,"Xixian Yong,Jianxun Lian,Xiaoyuan Yi,Xiao Zhou,Xing Xie",motivebench far humanlike motivational reasoning large language model
DualFast: Dual-Speedup Framework for Fast Sampling of Diffusion Models,"Hu Yu,Hao Luo,Fan Wang,Feng Zhao",dualfast dualspeedup framework fast sampling diffusion model
Beyond the First Read: AI-Assisted Perceptual Error Detection in Chest Radiography Accounting for Interobserver Variability,"Adhrith Vutukuri,Akash Awasthi,David Yang,Carol C. Wu,Hien Van Nguyen",beyond first read aiassisted perceptual error detection chest radiography accounting interobserver variability
Just Go Parallel: Improving the Multilingual Capabilities of Large Language Models,"Muhammad Reza Qorib,Junyi Li,Hwee Tou Ng",parallel improving multilingual capability large language model
SpaceTrack-TimeSeries: Time Series Dataset towards Satellite Orbit Analysis,"Zhixin Guo,Qi Shi,Xiaofan Xu,Sixiang Shan,Limin Qin,Linqiang Ge,Rui Zhang,Ya Dai,Hua Zhu,Guowei Jiang",spacetracktimeseries time series dataset towards satellite orbit analysis
AS400-DET: Detection using Deep Learning Model for IBM i (AS/400),"Thanh Tran,Son T. Luu,Quan Bui,Shoshin Nomura",asdet detection using deep learning model ibm
NaSh: Guardrails for an LLM-Powered Natural Language Shell,"Bimal Raj Gyawali,Saikrishna Achalla,Konstantinos Kallas,Sam Kumar",nash guardrail llmpowered natural language shell
Edeflip: Supervised Word Translation between English and Yoruba,"Ikeoluwa Abioye,Jiani Ge",edeflip supervised word translation english yoruba
Symmetry in Neural Network Parameter Spaces,"Bo Zhao,Robin Walters,Rose Yu",symmetry neural network parameter space
Geometric Embedding Alignment via Curvature Matching in Transfer Learning,"Sung Moon Ko,Jaewan Lee,Sumin Lee,Soorin Yim,Kyunghoon Bae,Sehui Han",geometric embedding alignment via curvature matching transfer learning
Missing the human touch? A computational stylometry analysis of GPT-4 translations of online Chinese literature,"Xiaofang Yao,Yong-Bin Kang,Anthony McCosker",missing human touch computational stylometry analysis gpt translation online chinese literature
Distributional Training Data Attribution,"Bruno Mlodozeniec,Isaac Reid,Sam Power,David Krueger,Murat Erdogdu,Richard E. Turner,Roger Grosse",distributional training data attribution
Forecasting Time Series with LLMs via Patch-Based Prompting and Decomposition,"Mayank Bumb,Anshul Vemulapalli,Sri Harsha Vardhan Prasad Jella,Anish Gupta,An La,Ryan A. Rossi,Hongjie Chen,Franck Dernoncourt,Nesreen K. Ahmed,Yu Wang",forecasting time series llm via patchbased prompting decomposition
eLog analysis for accelerators: status and future outlook,"Antonin Sulc,Thorsten Hellert,Aaron Reed,Adam Carpenter,Alex Bien,Chris Tennant,Claudio Bisegni,Daniel Lersch,Daniel Ratner,David Lawrence,Diana McSpadden,Hayden Hoschouer,Jason St. John,Thomas Britton",elog analysis accelerator status future outlook
Identifying and Investigating Global News Coverage of Critical Events Such as Disasters and Terrorist Attacks,"Erica Cai,Xi Chen,Reagan Grey Keeney,Ethan Zuckerman,Brendan O'Connor,Przemyslaw A. Grabowicz",identifying investigating global news coverage critical event disaster terrorist attack
Logit Dynamics in Softmax Policy Gradient Methods,Yingru Li,logit dynamic softmax policy gradient method
Exploring the Potential of Metacognitive Support Agents for Human-AI Co-Creation,"Frederic Gmeiner,Kaitao Luo,Ye Wang,Kenneth Holstein,Nikolas Martelaro",exploring potential metacognitive support agent humanai cocreation
KungfuBot: Physics-Based Humanoid Whole-Body Control for Learning Highly-Dynamic Skills,"Weiji Xie,Jinrui Han,Jiakun Zheng,Huanyu Li,Xinzhe Liu,Jiyuan Shi,Weinan Zhang,Chenjia Bai,Xuelong Li",kungfubot physicsbased humanoid wholebody control learning highlydynamic skill
Privacy-Preserving Federated Learning against Malicious Clients Based on Verifiable Functional Encryption,"Nina Cai,Jinguang Han",privacypreserving federated learning malicious client based verifiable functional encryption
Fair Bayesian Model-Based Clustering,"Jihu Lee,Kunwoong Kim,Yongdai Kim",fair bayesian modelbased clustering
Synesthesia of Machines (SoM)-Enhanced Sub-THz ISAC Transmission for Air-Ground Network,"Zonghui Yang,Shijian Gao,Xiang Cheng,Liuqing Yang",synesthesia machine somenhanced subthz isac transmission airground network
Taking the GP Out of the Loop,"David Sweet,Siddhant anand Jadhav",taking loop
Flow-Based Policy for Online Reinforcement Learning,"Lei Lv,Yunfei Li,Yu Luo,Fuchun Sun,Tao Kong,Jiafeng Xu,Xiao Ma",flowbased policy online reinforcement learning
Resilient-native and Intelligent NextG Systems,Mehdi Bennis,resilientnative intelligent nextg system
Scene-aware SAR ship detection guided by unsupervised sea-land segmentation,"Han Ke,Xiao Ke,Ye Yan,Rui Liu,Jinpeng Yang,Tianwen Zhang,Xu Zhan,Xiaowo Xu",sceneaware sar ship detection guided unsupervised sealand segmentation
Solving tricky quantum optics problems with assistance from (artificial) intelligence,"Manas Pandey,Bharath Hebbe Madhusudhana,Saikat Ghosh,Dmitry Budker",solving tricky quantum optic problem assistance artificial intelligence
On-board Sonar Data Classification for Path Following in Underwater Vehicles using Fast Interval Type-2 Fuzzy Extreme Learning Machine,"Adrian Rubio-Solis,Luciano Nava-Balanzar,Tomas Salgado-Jimenez",onboard sonar data classification path following underwater vehicle using fast interval type fuzzy extreme learning machine
AFBS:Buffer Gradient Selection in Semi-asynchronous Federated Learning,"Chaoyi Lu,Yiding Sun,Jinqian Chen,Zhichuan Yang,Jiangming Pan,Jihua Zhu",afbsbuffer gradient selection semiasynchronous federated learning
Unleashing Diffusion and State Space Models for Medical Image Segmentation,"Rong Wu,Ziqi Chen,Liming Zhong,Heng Li,Hai Shu",unleashing diffusion state space model medical image segmentation
Adaptive Dropout: Unleashing Dropout across Layers for Generalizable Image Super-Resolution,"Hang Xu,Wei Yu,Jiangtong Tan,Zhen Zou,Feng Zhao",adaptive dropout unleashing dropout across layer generalizable image superresolution
Revealing the Challenges of Sim-to-Real Transfer in Model-Based Reinforcement Learning via Latent Space Modeling,"Zhilin Lin,Shiliang Sun",revealing challenge simtoreal transfer modelbased reinforcement learning via latent space modeling
SP-VLA: A Joint Model Scheduling and Token Pruning Approach for VLA Model Acceleration,"Ye Li,Yuan Meng,Zewen Sun,Kangye Ji,Chen Tang,Jiajun Fan,Xinzhu Ma,Shutao Xia,Zhi Wang,Wenwu Zhu",spvla joint model scheduling token pruning approach vla model acceleration
Serving Large Language Models on Huawei CloudMatrix384,"Pengfei Zuo,Huimin Lin,Junbo Deng,Nan Zou,Xingkun Yang,Yingyu Diao,Weifeng Gao,Ke Xu,Zhangyu Chen,Shirui Lu,Zhao Qiu,Peiyang Li,Xianyu Chang,Zhengzhong Yu,Fangzheng Miao,Jia Zheng,Ying Li,Yuan Feng,Bei Wang,Zaijian Zong,Mosong Zhou,Wenli Zhou,Houjiang Chen,Xingyu Liao,Yipeng Li,Wenxiao Zhang,Ping Zhu,Yinggang Wang,Chuanjie Xiao,Depeng Liang,Dong Cao,Juncheng Liu,Yongqiang Yang,Xiaolong Bai,Yi Li,Huaguo Xie,Huatao Wu,Zhibin Yu,Lv Chen,Hu Liu,Yujun Ding,Haipei Zhu,Jing Xia,Yi Xiong,Zhou Yu,Heng Liao",serving large language model huawei cloudmatrix
NAP-Tuning: Neural Augmented Prompt Tuning for Adversarially Robust Vision-Language Models,"Jiaming Zhang,Xin Wang,Xingjun Ma,Lingyu Qiu,Yu-Gang Jiang,Jitao Sang",naptuning neural augmented prompt tuning adversarially robust visionlanguage model
Flexible Realignment of Language Models,"Wenhong Zhu,Ruobing Xie,Weinan Zhang,Rui Wang",flexible realignment language model
Unsupervised Contrastive Learning Using Out-Of-Distribution Data for Long-Tailed Dataset,"Cuong Manh Hoang,Yeejin Lee,Byeongkeun Kang",unsupervised contrastive learning using outofdistribution data longtailed dataset
MGDFIS: Multi-scale Global-detail Feature Integration Strategy for Small Object Detection,"Yuxiang Wang,Xuecheng Bai,Boyu Hu,Chuanzhi Xu,Haodong Chen,Vera Chung,Tingxue Li",mgdfis multiscale globaldetail feature integration strategy small object detection
Get on the Train or be Left on the Station: Using LLMs for Software Engineering Research,"Bianca Trinkenreich,Fabio Calefato,Geir Hanssen,Kelly Blincoe,Marcos Kalinowski,Mauro Pezzè,Paolo Tell,Margaret-Anne Storey",get train left station using llm software engineering research
Alphabet Index Mapping: Jailbreaking LLMs through Semantic Dissimilarity,Bilal Saleh Husain,alphabet index mapping jailbreaking llm semantic dissimilarity
ANIRA: An Architecture for Neural Network Inference in Real-Time Audio Applications,"Valentin Ackva,Fares Schulz",anira architecture neural network inference realtime audio application
DR-SAC: Distributionally Robust Soft Actor-Critic for Reinforcement Learning under Uncertainty,"Mingxuan Cui,Duo Zhou,Yuxuan Han,Grani A. Hanasusanto,Qiong Wang,Huan Zhang,Zhengyuan Zhou",drsac distributionally robust soft actorcritic reinforcement learning uncertainty
Konooz: Multi-domain Multi-dialect Corpus for Named Entity Recognition,"Nagham Hamad,Mohammed Khalilia,Mustafa Jarrar",konooz multidomain multidialect corpus named entity recognition
An Exploration of Mamba for Speech Self-Supervised Models,"Tzu-Quan Lin,Heng-Cheng Kuo,Tzu-Chieh Wei,Hsi-Chun Cheng,Chun-Wei Chen,Hsien-Fu Hsiao,Yu Tsao,Hung-yi Lee",exploration mamba speech selfsupervised model
Trust-MARL: Trust-Based Multi-Agent Reinforcement Learning Framework for Cooperative On-Ramp Merging Control in Heterogeneous Traffic Flow,"Jie Pan,Tianyi Wang,Christian Claudel,Jing Shi",trustmarl trustbased multiagent reinforcement learning framework cooperative onramp merging control heterogeneous traffic flow
Enabling Precise Topic Alignment in Large Language Models Via Sparse Autoencoders,"Ananya Joshi,Celia Cintas,Skyler Speakman",enabling precise topic alignment large language model via sparse autoencoders
DoTA-RAG: Dynamic of Thought Aggregation RAG,"Saksorn Ruangtanusak,Natthapath Rungseesiripak,Peerawat Rojratchadakorn,Monthol Charattrakool,Natapong Nitarach",dotarag dynamic thought aggregation rag
MVP-CBM:Multi-layer Visual Preference-enhanced Concept Bottleneck Model for Explainable Medical Image Classification,"Chunjiang Wang,Kun Zhang,Yandong Liu,Zhiyang He,Xiaodong Tao,S. Kevin Zhou",mvpcbmmultilayer visual preferenceenhanced concept bottleneck model explainable medical image classification
Fairness Research For Machine Learning Should Integrate Societal Considerations,"Yijun Bian,Lei You",fairness research machine learning integrate societal consideration
Neuromorphic Online Clustering and Its Application to Spike Sorting,James E. Smith,neuromorphic online clustering application spike sorting
Profiling News Media for Factuality and Bias Using LLMs and the Fact-Checking Methodology of Human Experts,"Zain Muhammad Mujahid,Dilshod Azizov,Maha Tufail Agro,Preslav Nakov",profiling news medium factuality bias using llm factchecking methodology human expert
MEraser: An Effective Fingerprint Erasure Approach for Large Language Models,"Jingxuan Zhang,Zhenhua Xu,Rui Hu,Wenpeng Xing,Xuhong Zhang,Meng Han",meraser effective fingerprint erasure approach large language model
PLD: A Choice-Theoretic List-Wise Knowledge Distillation,"Ejafa Bassam,Dawei Zhu,Kaigui Bian",pld choicetheoretic listwise knowledge distillation
BSA: Ball Sparse Attention for Large-scale Geometries,"Catalin E. Brita,Hieu Nguyen,Lohithsai Yadala Chanchu,Domonkos Nagy,Maksim Zhdanov",bsa ball sparse attention largescale geometry
RealFactBench: A Benchmark for Evaluating Large Language Models in Real-World Fact-Checking,"Shuo Yang,Yuqin Dai,Guoqing Wang,Xinran Zheng,Jinfeng Xu,Jinze Li,Zhenzhe Ying,Weiqiang Wang,Edith C.H. Ngai",realfactbench benchmark evaluating large language model realworld factchecking
Speech-Language Models with Decoupled Tokenizers and Multi-Token Prediction,"Xiaoran Fan,Zhichao Sun,Yangfan Gao,Jingfei Xiong,Hang Yan,Yifei Cao,Jiajun Sun,Shuo Li,Zhihao Zhang,Zhiheng Xi,Yuhao Zhou,Senjie Jin,Changhao Jiang,Junjie Ye,Ming Zhang,Rui Zheng,Zhenhua Han,Yunke Zhang,Demei Yan,Shaokang Dong,Tao Ji,Tao Gui,Qi Zhang,Xuanjing Huang",speechlanguage model decoupled tokenizers multitoken prediction
Deep Fusion of Ultra-Low-Resolution Thermal Camera and Gyroscope Data for Lighting-Robust and Compute-Efficient Rotational Odometry,"Farida Mohsen,Ali Safa",deep fusion ultralowresolution thermal camera gyroscope data lightingrobust computeefficient rotational odometry
Similarity as Reward Alignment: Robust and Versatile Preference-based Reinforcement Learning,"Sara Rajaram,R. James Cotton,Fabian H. Sinz",similarity reward alignment robust versatile preferencebased reinforcement learning
Towards Fairness Assessment of Dutch Hate Speech Detection,"Julie Bauer,Rishabh Kaushal,Thales Bertaglia,Adriana Iamnitchi",towards fairness assessment dutch hate speech detection
Comparative Analysis of Deep Learning Strategies for Hypertensive Retinopathy Detection from Fundus Images: From Scratch and Pre-trained Models,Yanqiao Zhu,comparative analysis deep learning strategy hypertensive retinopathy detection fundus image scratch pretrained model
Robust LLM Unlearning with MUDMAN: Meta-Unlearning with Disruption Masking And Normalization,"Filip Sondej,Yushi Yang,Mikołaj Kniejski,Marcel Windys",robust llm unlearning mudman metaunlearning disruption masking normalization
Generalizable Trajectory Prediction via Inverse Reinforcement Learning with Mamba-Graph Architecture,"Wenyun Li,Wenjie Huang,Zejian Deng,Chen Sun",generalizable trajectory prediction via inverse reinforcement learning mambagraph architecture
Levels of Autonomy for AI Agents,"K. J. Kevin Feng,David W. McDonald,Amy X. Zhang",level autonomy agent
Delving into Instance-Dependent Label Noise in Graph Data: A Comprehensive Study and Benchmark,"Suyeon Kim,SeongKu Kang,Dongwoo Kim,Jungseul Ok,Hwanjo Yu",delving instancedependent label noise graph data comprehensive study benchmark
Merlin: Multi-View Representation Learning for Robust Multivariate Time Series Forecasting with Unfixed Missing Rates,"Chengqing Yu,Fei Wang,Chuanguang Yang,Zezhi Shao,Tao Sun,Tangwen Qian,Wei Wei,Zhulin An,Yongjun Xu",merlin multiview representation learning robust multivariate time series forecasting unfixed missing rate
A Pluggable Multi-Task Learning Framework for Sentiment-Aware Financial Relation Extraction,"Jinming Luo,Hailin Wang",pluggable multitask learning framework sentimentaware financial relation extraction
MS-UMamba: An Improved Vision Mamba Unet for Fetal Abdominal Medical Image Segmentation,"Caixu Xu,Junming Wei,Huizhen Chen,Pengchen Liang,Bocheng Liang,Ying Tan,Xintong Wei",msumamba improved vision mamba unet fetal abdominal medical image segmentation
Style-based Composer Identification and Attribution of Symbolic Music Scores: a Systematic Survey,Federico Simonetta,stylebased composer identification attribution symbolic music score systematic survey
"Feeling Machines: Ethics, Culture, and the Rise of Emotional AI","Vivek Chavan,Arsen Cenaj,Shuyuan Shen,Ariane Bar,Srishti Binwani,Tommaso Del Becaro,Marius Funk,Lynn Greschner,Roberto Hung,Stina Klein,Romina Kleiner,Stefanie Krause,Sylwia Olbrych,Vishvapalsinhji Parmar,Jaleh Sarafraz,Daria Soroko,Daksitha Withanage Don,Chang Zhou,Hoang Thuy Duong Vu,Parastoo Semnani,Daniel Weinhardt,Elisabeth Andre,Jörg Krüger,Xavier Fresquet",feeling machine ethic culture rise emotional
EXGnet: a single-lead explainable-AI guided multiresolution network with train-only quantitative features for trustworthy ECG arrhythmia classification,"Tushar Talukder Showrav,Soyabul Islam Lincoln,Md. Kamrul Hasan",exgnet singlelead explainableai guided multiresolution network trainonly quantitative feature trustworthy ecg arrhythmia classification
Bridging the Digital Divide: Small Language Models as a Pathway for Physics and Photonics Education in Underdeveloped Regions,"Asghar Ghorbani,Hanieh Fattahi",bridging digital divide small language model pathway physic photonics education underdeveloped region
LARGO: Low-Rank Regulated Gradient Projection for Robust Parameter Efficient Fine-Tuning,"Haotian Zhang,Liu Liu,Baosheng Yu,Jiayan Qiu,Yanwei Ren,Xianglong Liu",largo lowrank regulated gradient projection robust parameter efficient finetuning
Revisiting Clustering of Neural Bandits: Selective Reinitialization for Mitigating Loss of Plasticity,"Zhiyuan Su,Sunhao Dai,Xiao Zhang",revisiting clustering neural bandit selective reinitialization mitigating loss plasticity
Group then Scale: Dynamic Mixture-of-Experts Multilingual Language Model,"Chong Li,Yingzhuo Deng,Jiajun Zhang,Chengqing Zong",group scale dynamic mixtureofexperts multilingual language model
Recent Advances and Future Directions in Literature-Based Discovery,"Andrej Kastrin,Bojan Cestnik,Nada Lavrač",recent advance future direction literaturebased discovery
Exploring the Secondary Risks of Large Language Models,"Jiawei Chen,Zhengwei Fang,Xiao Yang,Chao Yu,Zhaoxia Yin,Hang Su",exploring secondary risk large language model
Training-free LLM Merging for Multi-task Learning,"Zichuan Fu,Xian Wu,Yejing Wang,Wanyu Wang,Shanshan Ye,Hongzhi Yin,Yi Chang,Yefeng Zheng,Xiangyu Zhao",trainingfree llm merging multitask learning
Component Based Quantum Machine Learning Explainability,"Barra White,Krishnendu Guha",component based quantum machine learning explainability
Optimized Spectral Fault Receptive Fields for Diagnosis-Informed Prognosis,"Stan Muñoz Gutiérrez,Franz Wotawa",optimized spectral fault receptive field diagnosisinformed prognosis
AntiGrounding: Lifting Robotic Actions into VLM Representation Space for Decision Making,"Wenbo Li,Shiyi Wang,Yiteng Chen,Huiping Zhuang,Qingyao Wu",antigrounding lifting robotic action vlm representation space decision making
HYPER: A Foundation Model for Inductive Link Prediction with Knowledge Hypergraphs,"Xingyue Huang,Mikhail Galkin,Michael M. Bronstein,İsmail İlkan Ceylan",hyper foundation model inductive link prediction knowledge hypergraphs
Efficient Reasoning Through Suppression of Self-Affirmation Reflections in Large Reasoning Models,"Kaiyuan Liu,Chen Shen,Zhanwei Zhang,Junjie Liu,Xiaosong Yuan,Jieping ye",efficient reasoning suppression selfaffirmation reflection large reasoning model
Theoretical Tensions in RLHF: Reconciling Empirical Success with Inconsistencies in Social Choice Theory,"Jiancong Xiao,Zhekun Shi,Kaizhao Liu,Qi Long,Weijie J. Su",theoretical tension rlhf reconciling empirical success inconsistency social choice theory
"Information Suppression in Large Language Models: Auditing, Quantifying, and Characterizing Censorship in DeepSeek","Peiran Qiu,Siyi Zhou,Emilio Ferrara",information suppression large language model auditing quantifying characterizing censorship deepseek
Refract ICL: Rethinking Example Selection in the Era of Million-Token Models,"Arjun R. Akula,Kazuma Hashimoto,Krishna Srinivasan,Aditi Chaudhary,Karthik Raman,Michael Bendersky",refract icl rethinking example selection era milliontoken model
SheetMind: An End-to-End LLM-Powered Multi-Agent Framework for Spreadsheet Automation,"Ruiyan Zhu,Xi Cheng,Ke Liu,Brian Zhu,Daniel Jin,Neeraj Parihar,Zhoutian Xu,Oliver Gao",sheetmind endtoend llmpowered multiagent framework spreadsheet automation
